003seconds,22 48 59 64 90 100 75 103 93 32 56 51 142 163 146 41 72 80 
10000BC,45 28 19 237 235 219 3 41 63 208 227 215 128 82 54 188 158 119 
10000DollarsforaMassacre,221 216 210 184 171 155 41 22 31 117 86 75 15 26 51 46 30 23 
100MillionBC,42 30 10 120 92 54 5 16 6 183 162 118 236 232 196 89 66 28 
101DalmatiansIIPatchsLondonAdventure,208 153 91 236 225 91 138 86 50 241 238 198 222 226 236 215 91 53 
10CloverfieldLane,1 2 15 6 5 3 20 40 34 239 239 237 128 170 143 73 110 93 
10Minutes,38 32 28 116 88 60 103 103 110 146 147 157 161 130 77 35 32 33 
12AngryMen,239 235 230 187 172 161 40 32 22 133 74 61 242 249 246 206 34 44 
12UhrmittagskommtderBoss,120 91 87 132 97 100 37 31 15 151 108 113 182 164 125 149 112 110 
12YearsaSlave,252 252 250 107 96 69 37 27 16 2 1 5 170 158 129 5 3 5 
13GoingOn30,254 252 251 229 147 105 252 240 247 245 254 251 157 79 55 230 52 74 
13th,222 224 223 23 24 26 22 24 23 214 211 209 224 226 228 152 31 40 
1408,37 15 10 27 9 11 155 79 39 116 38 26 208 156 74 191 137 46 
1789LesAmantsdelaBastille,154 19 27 221 65 70 188 43 49 247 229 223 221 76 73 88 14 18 
17Again,254 253 251 29 25 21 116 85 75 190 155 135 218 50 59 249 253 251 
1826,187 159 132 17 32 46 118 90 74 74 88 117 50 39 31 124 82 97 
1916TheIrishRebellion,29 36 29 21 19 18 154 159 166 87 92 87 95 99 104 151 160 153 
20000LeaguesUndertheSea,125 76 55 61 34 15 231 214 82 198 229 244 191 164 102 238 236 208 
20000MenaYear,248 245 221 234 245 239 191 161 120 14 24 45 225 234 241 150 80 52 
2001ASpaceOdyssey,18 16 29 4 3 2 25 15 23 232 226 221 175 160 148 107 87 95 
2012,82 90 112 34 41 58 146 158 174 214 221 229 23 16 14 41 15 21 
20thCenturyWomen,249 248 247 238 241 239 194 152 129 235 236 239 27 38 55 121 90 80 
21JumpStreet,149 166 178 20 32 45 217 223 229 73 99 116 241 233 229 29 18 24 
22JumpStreet,209 227 241 206 149 110 27 19 17 144 84 56 21 13 15 240 226 213 
28DaysLater,193 40 25 164 32 29 156 29 33 48 19 14 52 15 22 4 17 10 
28WeeksLater,247 228 196 26 11 7 216 153 106 146 76 55 186 17 24 44 4 7 
2Lava2Lantula,42 30 24 116 90 69 178 154 122 20 21 24 32 24 26 226 219 193 
300RiseofanEmpire,243 221 200 14 6 5 202 156 129 48 9 17 143 79 61 136 26 34 
30DaysofNight,226 30 39 22 30 34 15 5 3 30 8 13 207 34 45 72 95 103 
310toYuma,243 234 216 26 14 21 48 26 19 208 153 102 140 84 56 204 8 46 
36HoursofHell,30 13 5 157 166 188 153 82 36 6 8 19 27 6 14 195 161 24 
3November1918,22 22 18 143 144 128 104 105 93 131 132 117 19 19 21 65 67 56 
47Ronin,33 21 15 149 78 38 12 8 9 195 152 104 9 9 12 10 14 10 
500DaysofSummer,233 236 243 88 158 211 193 157 131 233 212 195 47 122 182 128 93 67 
50FirstDates,213 233 249 226 149 100 156 81 46 237 204 181 119 181 228 46 20 15 
50YearsofStarTrek,0 0 0 2 0 1 209 171 18 4 4 10 235 213 74 105 98 64 
64Part1,19 33 30 248 245 235 120 97 62 13 22 26 188 163 119 34 28 16 
64Part2,36 21 11 131 93 57 16 28 24 187 158 113 60 112 119 12 22 26 
6DaystoAirTheMakingofSouthPark,1 0 0 238 217 196 3 8 14 2 9 5 165 83 43 11 1 6 
71IntotheFire,31 27 24 104 92 85 172 154 145 231 220 213 29 33 36 83 88 91 
7thCavalry,223 213 191 198 164 112 225 202 126 149 87 56 226 69 49 50 36 19 
85TheGreatestTeaminProFootballHistory,25 29 60 226 230 241 49 22 39 163 77 44 231 98 41 233 112 56 
8MillionWaystoDie,190 157 135 116 90 70 52 41 34 38 42 47 48 36 42 238 207 178 
9Songs,190 69 42 51 28 19 250 246 239 214 163 75 3 6 4 5 7 12 
9thCompany,248 247 228 23 13 6 217 166 78 237 209 108 147 92 31 4 3 10 
A4363Trip,247 215 154 217 152 108 50 13 4 236 199 135 151 77 43 31 2 4 
ABandCalledDeath,30 28 15 196 171 33 229 222 212 118 105 41 237 207 35 193 179 127 
