13FightingMen,252 250 247 47 20 31 52 30 23 192 155 123 131 85 60 241 249 244 
13Sins,17 17 17 92 92 92 238 238 238 156 156 156 198 2 0 203 1 4 
13WestStreet,249 246 242 31 20 6 250 239 244 9 12 22 41 12 25 173 15 47 
20MillionMilestoEarth,165 65 41 237 229 209 66 92 63 202 159 104 183 150 41 229 221 3 
4DollarsofRevenge,242 223 187 241 204 43 54 32 22 180 161 138 133 84 57 42 23 29 
9Kisses,15 9 5 135 85 51 202 150 120 243 232 226 3 5 2 1 2 4 
Aadhi,153 246 95 11 35 8 77 204 26 120 206 79 189 250 152 13 16 6 
AayirathilOruvan,247 243 236 193 156 126 29 15 10 133 91 66 244 226 234 204 140 156 
ACryintheWilderness,17 14 10 14 20 14 17 22 37 187 155 123 114 94 74 133 169 193 
ADeliciousFlight,160 159 165 174 153 145 235 230 226 222 222 229 113 89 81 54 26 17 
AgeOldFriends,70 108 144 242 240 236 123 96 69 17 25 33 48 36 25 221 230 239 
Akhirat,36 20 7 137 99 29 183 146 41 2 6 2 99 69 17 196 163 83 
AlienLockdown,4 24 2 9 13 2 145 167 55 93 117 44 65 88 14 213 217 110 
AllanQuatermainandtheTempleofSkulls,146 79 50 224 155 61 238 217 62 62 43 32 196 153 36 56 33 43 
AllNighter,140 102 71 182 156 111 248 244 232 139 163 149 32 22 29 175 128 70 
AlwaysWhitneyHouston,18 10 7 5 5 36 4 14 211 208 242 250 61 189 238 234 252 250 
AManCalledBlade,35 7 12 168 74 38 214 156 84 62 23 15 138 32 23 229 215 193 
AManCalledIntrepid,143 67 55 52 30 22 239 227 207 192 150 130 124 40 35 209 75 64 
AmericanMary,17 23 30 30 19 16 156 66 53 44 18 22 205 211 217 83 88 99 
AmericanPiePresentsTheNakedMile,253 249 245 206 154 107 156 82 56 225 67 45 246 252 250 50 32 19 
Amoursclbres,241 235 226 191 162 142 237 243 240 173 74 48 11 31 25 221 76 52 
Anaconda3Offspring,9 19 23 40 26 12 13 25 17 247 243 223 124 93 53 208 238 247 
AnAmericanGirlStoryIvyJulie1976AHappyBalance,233 222 212 194 156 124 166 168 178 139 87 53 55 29 15 204 211 219 
AnchormanTheLegendofRonBurgundy,61 93 145 29 36 53 36 64 108 48 19 29 246 235 226 119 38 53 
AndrChnier,10 27 39 84 106 102 46 72 75 64 86 89 47 74 73 221 223 226 
AndroidApocalypse,222 233 240 245 241 218 56 101 132 40 24 14 16 32 49 137 166 186 
AndrRieuLiveinAustralia,35 32 56 215 154 92 35 26 36 239 211 105 240 225 191 150 79 60 
AngelsLeap,236 232 226 207 157 104 229 63 49 156 76 51 38 117 154 12 27 46 
Animusic2,49 42 36 48 39 46 117 87 65 119 78 120 181 153 126 177 135 161 
AnotherManAnotherChance,251 249 239 73 34 11 125 87 42 167 145 35 183 161 124 102 72 9 
AntarcticaIceSky,245 245 240 15 40 81 63 100 128 142 164 175 215 222 217 205 215 220 
Apocalypto,20 27 22 5 6 4 88 103 90 140 156 142 91 97 75 3 5 6 
ApokrifMuzykadlyaPetraiPavla,23 39 76 119 93 65 195 153 117 51 40 27 237 223 206 31 42 29 
AshokKumar,218 222 226 158 160 164 99 100 103 100 95 98 97 95 93 160 165 163 
AsTheyContinuetoFall,22 25 24 206 229 251 23 33 42 70 93 119 29 26 21 130 154 179 
