(500) Days of Summer,234 236 242 88 158 211 194 156 130 231 209 192 45 122 183 129 93 66 
(The New) War of the Buttons,22 5 2 0 1 53 209 153 100 158 81 36 239 218 182 45 97 171 
10 Cloverfield Lane,1 2 15 5 4 3 21 41 35 238 238 237 128 170 143 73 110 93 
10 Things I Hate About You,252 252 249 83 165 28 41 37 23 18 24 20 236 246 230 110 93 54 
10 Years,49 26 15 139 80 54 202 157 114 233 220 198 233 220 227 26 38 56 
100 Girls,253 251 249 13 21 36 218 146 104 148 78 52 42 20 14 223 220 245 
10000 BC,45 28 19 237 235 219 3 41 63 208 227 215 128 82 54 188 158 119 
101 Dalmatians,244 240 234 31 11 7 209 154 110 230 235 232 154 77 48 31 12 16 
101 Dalmatians II Patchs London Adventure,208 153 92 236 225 90 243 241 209 138 86 49 222 225 234 105 173 198 
102 Dalmatians,249 249 248 35 30 31 215 217 219 188 160 145 165 168 172 151 77 60 
1114,14 9 11 199 152 109 134 89 68 16 33 42 27 21 17 230 216 191 
12 Angry Men,239 235 230 187 172 161 40 32 22 133 74 61 242 249 246 206 34 44 
12 Rounds,48 14 8 10 35 23 217 243 231 46 122 93 184 65 21 249 247 242 
12 Rounds 2 Reloaded,48 18 8 162 79 35 206 154 97 233 222 199 151 33 10 238 206 109 
12 Years a Slave,252 252 251 107 96 69 37 28 16 2 1 5 170 158 129 5 3 5 
127 Hours,38 9 2 245 231 195 10 55 91 31 100 145 208 239 247 181 63 28 
13,253 251 250 45 30 21 134 76 61 188 150 121 142 29 26 152 27 30 
13 Assassins,17 18 20 240 240 239 136 68 64 249 251 250 39 31 29 204 37 41 
13 Going On 30,254 253 252 230 148 104 247 233 240 251 254 253 156 79 56 235 49 68 
13 Hours The Secret Soldiers of Benghazi,7 21 48 52 97 117 215 244 231 136 176 163 150 60 70 145 25 36 
13 Sins,17 17 17 92 92 92 238 238 238 156 156 156 198 2 0 203 1 4 
1408,37 14 10 155 79 40 23 8 10 116 38 25 207 157 74 191 136 48 
1492 Conquest of Paradise,239 145 63 27 10 6 169 72 41 250 218 80 251 246 206 237 82 41 
16 Blocks,43 33 25 124 87 49 246 222 81 209 161 94 29 15 19 185 42 55 
16 Wishes,213 127 173 27 24 39 195 86 138 52 27 18 126 84 62 35 21 31 
17 Again,254 253 251 29 25 21 116 85 75 190 155 135 218 50 59 249 253 251 
1941,144 83 52 48 27 18 208 151 106 27 13 18 246 228 184 247 226 56 
2 Days in New York,247 238 227 32 22 13 208 160 110 201 230 244 134 92 54 31 24 28 
2 Fast 2 Furious,1 0 0 11 17 34 254 254 254 212 220 225 76 94 120 147 165 177 
2 Guns,234 222 181 201 177 103 220 201 141 29 18 9 153 180 152 133 92 42 
20000 Leagues Under the Sea,12 48 139 10 18 59 44 86 161 142 156 201 199 206 233 31 12 9 
2001 A Space Odyssey,18 16 29 4 3 2 25 15 23 232 226 221 175 160 148 107 87 95 
2010,9 4 3 21 6 8 126 86 62 6 8 11 231 231 228 169 157 135 
2012,82 90 113 35 42 58 146 159 174 213 220 228 23 17 15 41 14 21 
2046,15 5 2 146 81 29 128 33 22 31 3 5 214 159 92 229 210 115 
21,241 239 235 17 32 37 6 4 2 11 26 25 238 235 237 221 231 236 
21  Over,4 2 1 251 249 239 37 6 15 130 83 53 10 13 26 201 151 110 
21 Grams,3 1 0 54 12 17 166 50 46 117 33 37 170 47 50 131 37 34 
21 Jump Street,149 167 178 19 32 45 217 223 228 70 100 119 242 235 231 31 20 25 
22 Bullets,30 19 14 12 1 5 180 156 136 116 89 73 169 188 192 218 7 19 
22 Jump Street,209 227 241 206 149 110 27 19 17 144 84 56 21 13 15 240 226 213 
24 Hour Party People,3 2 2 245 242 225 181 163 121 127 91 64 11 13 18 141 173 145 
24 Redemption,41 27 16 240 234 211 213 157 84 150 82 46 230 211 119 192 139 45 
25th Hour,195 8 17 9 9 9 239 234 232 236 241 239 28 11 15 10 12 15 
27 Dresses,254 252 251 212 170 133 251 242 251 196 26 199 224 190 152 253 254 254 
28 Days Later,194 39 25 162 32 29 159 29 32 48 22 19 3 12 10 2 8 10 
28 Weeks Later,247 229 198 23 11 8 220 152 101 186 18 24 145 78 55 44 3 6 
3 Days to Kill,23 20 17 252 249 247 232 231 237 193 158 126 113 88 67 14 38 45 
3 Idiots,251 250 248 206 154 105 115 97 73 78 89 73 42 33 39 175 157 56 
3-Iron,253 249 246 223 148 105 140 77 59 223 226 234 50 34 27 245 249 247 
30 Days of Night,226 30 39 10 5 3 24 32 36 27 9 13 214 30 40 71 95 104 
30 Days of Night Dark Days,2 2 10 43 17 23 214 30 36 142 29 34 170 55 46 134 34 31 
30 Minutes or Less,26 10 8 133 82 60 31 6 8 205 145 106 249 240 221 14 20 27 
300,29 12 7 245 229 192 137 81 57 194 159 116 26 6 9 242 63 58 
300 Rise of an Empire,243 221 200 14 6 5 202 156 129 48 9 17 143 79 61 136 26 34 
3000 Miles to Graceland,12 6 5 239 230 210 208 158 101 146 83 54 232 203 126 27 11 15 
3096 Days,4 5 8 88 96 91 31 38 36 150 157 154 6 5 4 212 215 214 
31,191 171 141 62 25 11 138 80 45 123 40 17 210 194 163 221 205 176 
310 to Yuma,243 234 216 25 14 20 49 27 20 208 153 102 140 84 57 204 7 46 
36th Precinct,4 10 11 10 23 19 241 234 231 36 33 25 106 94 80 175 156 144 
4 Months 3 Weeks and 2 Days,9 6 2 139 78 43 2 7 1 0 1 5 187 26 15 83 71 31 
